Running on iPhone 17 Pro - iOS 26.2 - B03E429D-0422-4357-B754-536637D979F9
None: 
element_num,depth,attributes,parent_num
0,0,"bounds=[0,0][0,0]",
1,1,"accessibilityText=MINT; bounds=[0,0][402,874]; enabled=true; enabled=true",0
2,2,"bounds=[0,0][402,874]; enabled=true; enabled=true",1
3,3,"bounds=[0,0][402,874]; enabled=true; enabled=true",2
4,4,"bounds=[0,0][402,874]; enabled=true; enabled=true",3
5,5,"bounds=[0,0][402,874]; enabled=true; enabled=true",4
6,6,"bounds=[0,0][402,874]; enabled=true; enabled=true",5
13,7,"bounds=[0,0][402,874]; enabled=true; enabled=true",6
8,7,"bounds=[0,0][402,874]; enabled=true; enabled=true",6
13,8,"bounds=[0,0][402,874]; enabled=true; enabled=true",8
10,8,"bounds=[0,0][402,874]; enabled=true; enabled=true",8
13,9,"bounds=[0,0][402,874]; enabled=true; enabled=true",10
12,9,"bounds=[0,0][402,874]; enabled=true; enabled=true",10
13,10,"bounds=[0,0][402,874]; enabled=true; enabled=true",12
14,10,"accessibilityText=Combien te tombe net par mois ?; bounds=[24,110][367,136]; enabled=true; enabled=true",12
15,10,"accessibilityText=7’000 – 7’500 CHF; bounds=[24,168][378,205]; enabled=true; enabled=true",12
16,10,"accessibilityText=tu ajusteras quand tu scanneras ta fiche; bounds=[24,209][378,227]; enabled=true; enabled=true",12
17,10,"bounds=[0,0][402,874]; enabled=true; enabled=true",12
18,11,"accessibilityText=7’000 – 7’500; value=45%; text=45%; bounds=[24,251][378,299]; enabled=true; enabled=true",17
19,10,"accessibilityText=500 CHF; bounds=[24,299][72,315]; enabled=true; enabled=true",12
20,10,"accessibilityText=15’000 CHF; bounds=[314,299][378,315]; enabled=true; enabled=true",12
21,10,"accessibilityText=Je sais le chiffre exact; bounds=[117,556][284,604]; enabled=true; enabled=true",12
22,10,"accessibilityText=Continuer; resource-id=onboarding-revenue-range-continue; bounds=[24,620][378,672]; enabled=true; enabled=true",12
23,10,"accessibilityText=TON DOSSIER; bounds=[16,711][97,725]; enabled=true; enabled=true",12
24,10,"bounds=[0,0][402,874]; enabled=true; enabled=true",12
25,11,"bounds=[16,733][386,826]; enabled=true; enabled=true",24
26,11,"accessibilityText=Intention; bounds=[16,734][180,752]; enabled=true; enabled=true",24
27,11,"accessibilityText=Je regarde; bounds=[180,733][386,754]; enabled=true; enabled=true",24
28,11,"accessibilityText=Date de naissance; bounds=[16,765][180,783]; enabled=true; enabled=true",24
29,11,"accessibilityText=15.07.1992; bounds=[180,764][386,785]; enabled=true; enabled=true",24
30,11,"accessibilityText=Canton; bounds=[16,796][180,814]; enabled=true; enabled=true",24
31,11,"accessibilityText=Vaud; bounds=[180,795][386,816]; enabled=true; enabled=true",24
32,1,"bounds=[0,0][0,0]",0
33,2,"bounds=[0,0][402,54]; enabled=true; enabled=true",32
34,2,"bounds=[0,0][402,54]; enabled=true; enabled=true",32
35,3,"bounds=[0,0][402,54]; enabled=true; enabled=true",34
36,4,"bounds=[0,0][402,54]; enabled=true; enabled=true",35
37,5,"accessibilityText=21:08; bounds=[51,22][96,42]; enabled=true; enabled=true",36
38,5,"accessibilityText=Cellular; value=No signal; text=No signal; bounds=[288,26][307,38]; enabled=true; enabled=true",36
39,5,"value=SSID, 3 of 3 Wi-Fi bars; text=SSID, 3 of 3 Wi-Fi bars; resource-id=3 of 3 Wi-Fi bars; bounds=[315,26][332,38]; enabled=true; enabled=true",36
40,5,"accessibilityText=100% battery power; value=Not charging; text=Not charging; bounds=[339,26][366,39]; enabled=true; enabled=true",36

