attempt=1 status=0
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::load has been called by org.fusesource.jansi.internal.JansiLoader in an unnamed module (file:REDACTED_HOME/.maestro/lib/jansi-2.4.1.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

None: 
element_num,depth,attributes,parent_num
0,0,"bounds=[0,0][0,0]",
1,1,"accessibilityText=MINT; bounds=[0,0][402,874]; enabled=true; enabled=true",0
2,2,"bounds=[0,0][402,874]; enabled=true; enabled=true",1
3,3,"bounds=[0,0][402,874]; enabled=true; enabled=true",2
4,4,"bounds=[0,0][402,874]; enabled=true; enabled=true",3
5,5,"bounds=[0,0][402,874]; enabled=true; enabled=true",4
6,6,"bounds=[0,0][402,874]; enabled=true; enabled=true",5
11,7,"bounds=[0,0][402,874]; enabled=true; enabled=true",6
8,7,"bounds=[0,0][402,874]; enabled=true; enabled=true",6
11,8,"bounds=[0,0][402,874]; enabled=true; enabled=true",8
10,8,"bounds=[0,0][402,874]; enabled=true; enabled=true",8
11,9,"bounds=[0,0][402,874]; enabled=true; enabled=true",10
12,9,"bounds=[0,0][402,874]; enabled=true; enabled=true",10
13,10,"bounds=[0,0][402,118]; enabled=true; enabled=true",12
14,10,"bounds=[4,66][52,114]; enabled=true; enabled=true",12
15,10,"accessibilityText=Patrimoine; bounds=[72,78][160,101]; enabled=true; enabled=true",12
16,9,"bounds=[0,0][402,874]; enabled=true; enabled=true",10
17,10,"bounds=[0,264][402,694]; enabled=true; enabled=true",16
18,10,"accessibilityText=Formulaire
Formulaire; bounds=[24,304][197,348]; enabled=true; enabled=true",16
19,10,"accessibilityText=Parle au coach
Parle au coach; bounds=[205,304][378,348]; enabled=true; enabled=true",16
20,10,"accessibilityText=Épargne libre, investissements, immobilier : ces données complètent ta projection et permettent de calculer ton Financial Resilience Index.; bounds=[24,364][378,427]; enabled=true; enabled=true",16
21,10,"accessibilityText=Prix du bien immobilier (CHF); resource-id=property_market_value_input; bounds=[42,469][360,533]; enabled=true; enabled=true",16
22,10,"bounds=[0,0][402,874]; enabled=true; enabled=true",16
23,11,"accessibilityText=Enregistrer; resource-id=patrimoine_save_cta; bounds=[42,545][360,598]; enabled=true; enabled=true",22
24,11,"accessibilityText=Enregistrer; bounds=[42,545][360,598]; enabled=true; enabled=true",22
25,10,"accessibilityText=Outil éducatif simplifié. Ne constitue pas un conseil financier (LSFin).; bounds=[24,664][378,678]; enabled=true; enabled=true",16
26,1,"bounds=[0,0][0,0]",0
27,2,"bounds=[0,0][402,54]; enabled=true; enabled=true",26
28,2,"bounds=[0,0][402,54]; enabled=true; enabled=true",26
29,3,"bounds=[0,0][402,54]; enabled=true; enabled=true",28
30,4,"bounds=[0,0][402,54]; enabled=true; enabled=true",29
31,5,"accessibilityText=08:08; bounds=[49,22][98,42]; enabled=true; enabled=true",30
32,5,"accessibilityText=Cellular; value=No signal; text=No signal; bounds=[288,26][307,38]; enabled=true; enabled=true",30
33,5,"value=SSID, 3 of 3 Wi-Fi bars; text=SSID, 3 of 3 Wi-Fi bars; resource-id=3 of 3 Wi-Fi bars; bounds=[315,26][332,38]; enabled=true; enabled=true",30
34,5,"accessibilityText=100% battery power; value=Not charging; text=Not charging; bounds=[339,26][366,39]; enabled=true; enabled=true",30

