# Registre officiel des communes suisses — asset généré, ne pas éditer à la main.
# Régénérer : python3 tools/data/build_commune_registry.py --date 13-08-2026
# Source : OFS, https://www.agvchapp.bfs.admin.ch/api/communes/snapshot
# Instantané : 13-08-2026
# Communes : 2110
# Le numéro OFS est l'identité engagée ; il change lors d'un transfert de canton.
# Format : numéro OFS|nom officiel|canton|valide depuis|alias de recherche
#
4551|Aadorf|TG|01.01.2011|
4001|Aarau|AG|01.01.2010|
301|Aarberg|BE|01.01.2010|
4271|Aarburg|AG|12.09.1848|
321|Aarwangen|BE|01.01.2010|
4221|Abtwil|AG|12.09.1848|
5621|Aclens|VD|01.09.2006|
5048|Acquarossa|TI|04.04.2004|
561|Adelboden|BE|01.01.2010|
1051|Adligenswil|LU|01.01.2013|
131|Adliswil|ZH|01.01.1893|
2421|Aedermannsdorf|SO|01.01.1991|
401|Aefligen|BE|01.01.2010|
731|Aegerten|BE|01.01.2010|
2761|Aesch (BL)|BL|01.01.1994|
1021|Aesch (LU)|LU|01.01.2013|
241|Aesch (ZH)|ZH|01.01.2003|
2511|Aeschi (SO)|SO|01.01.2012|
562|Aeschi bei Spiez|BE|01.01.2010|
1|Aeugst am Albis|ZH|15.11.1976|
4711|Affeltrangen|TG|01.01.2011|
2|Affoltern am Albis|ZH|12.09.1848|
951|Affoltern im Emmental|BE|01.01.2010|
6101|Agarn|VS|12.09.1848|
5742|Agiez|VD|01.09.2006|
5141|Agno|TI|12.09.1848|
5401|Aigle|VD|01.09.2006|
6601|Aire-la-Ville|GE|12.09.1848|
5061|Airolo|TI|12.09.1848|
1121|Alberswil|LU|01.01.2013|
6102|Albinen|VS|12.09.1848|
3542|Albula/Alvra|GR|01.01.2017|Albula,Alvra
402|Alchenstorf|BE|01.01.2010|
5851|Allaman|VD|01.09.2006|
6771|Alle|JU|01.01.1979|
630|Allmendingen|BE|01.01.2010|
2762|Allschwil|BL|01.01.1994|
1401|Alpnach|OW|12.09.1848|
1361|Alpthal|SZ|12.09.1848|
1122|Altbüron|LU|01.01.2013|
1201|Altdorf (UR)|UR|12.09.1848|
1341|Altendorf|SZ|12.09.1848|
211|Altikon|ZH|12.09.1848|
1123|Altishofen|LU|01.01.2020|
4641|Altnau|TG|01.01.2011|
5237|Alto Malcantone|TI|13.03.2005|
3251|Altstätten|SG|01.01.2003|
3311|Amden|SG|01.01.2003|
4881|Amlikon-Bissegg|TG|01.01.2011|
4191|Ammerswil|AG|12.09.1848|
4461|Amriswil|TG|01.01.2011|
921|Amsoldingen|BE|01.01.2010|
3701|Andeer|GR|01.01.2017|
291|Andelfingen|ZH|01.01.2023|
1202|Andermatt|UR|12.09.1848|
3441|Andwil (SG)|SG|01.01.2003|
6602|Anières|GE|01.01.1858|
6252|Anniviers|VS|01.01.2009|
2841|Anwil|BL|01.01.1994|
3101|Appenzell|AI|01.01.1997|
5143|Aranno|TI|12.09.1848|
6261|Arbaz|VS|12.09.1848|
5001|Arbedo-Castione|TI|12.09.1848|
2881|Arboldswil|BL|01.01.1994|
4401|Arbon|TG|01.01.2011|
381|Arch|BE|01.01.2010|
6021|Ardon|VS|12.09.1848|
2821|Arisdorf|BL|01.01.1994|
4222|Aristau|AG|12.09.1848|
2763|Arlesheim|BL|01.01.1994|
5701|Arnex-sur-Nyon|VD|01.09.2006|
5743|Arnex-sur-Orbe|VD|01.09.2006|
4061|Arni (AG)|AG|01.01.1983|
602|Arni (BE)|BE|01.01.2010|
5144|Arogno|TI|12.09.1848|
3921|Arosa|GR|01.01.2017|
1362|Arth|SZ|12.09.1848|
5702|Arzier-Le Muids|VD|01.05.2014|
5091|Ascona|TI|12.09.1848|
5511|Assens|VD|01.07.2021|
2321|Attalens|FR|12.09.1848|
1203|Attinghausen|UR|12.09.1848|
971|Attiswil|BE|01.01.2010|
3231|Au (SG)|SG|01.01.2003|
5422|Aubonne|VD|01.01.2021|
4091|Auenstein|AG|12.09.1848|
2822|Augst|BL|01.01.1994|
6191|Ausserberg|VS|01.01.1923|
322|Auswil|BE|01.01.2010|
2173|Autigny|FR|12.09.1848|
4223|Auw|AG|12.09.1848|
5324|Avegno Gordevio|TI|20.04.2008|
5451|Avenches|VD|01.07.2011|
3681|Avers|GR|01.01.2017|
2174|Avry|FR|01.01.2001|
6603|Avully|GE|12.09.1848|
6604|Avusy|GE|12.09.1848|
6082|Ayent|VS|12.09.1848|
1701|Baar|ZG|12.09.1848|
51|Bachenbülach|ZH|23.03.1850|
81|Bachs|ZH|12.09.1848|
3291|Bad Ragaz|SG|01.01.2003|
4021|Baden|AG|01.01.2024|
5242|Balerna|TI|12.09.1848|
3232|Balgach|SG|01.01.2003|
5744|Ballaigues|VD|01.09.2006|
5423|Ballens|VD|01.09.2006|
1023|Ballwil|LU|01.01.2013|
2541|Balm bei Günsberg|SO|12.09.1848|
2422|Balsthal|SO|01.01.1991|
6281|Baltschieder|VS|12.09.1848|
323|Bannwil|BE|01.01.2010|
6605|Bardonnex|GE|01.01.1851|
302|Bargen (BE)|BE|01.01.2010|
2931|Bargen (SH)|SH|12.09.1848|
2162|Bas-Intyamon|FR|01.01.2004|
4536|Basadingen-Schlattingen|TG|01.01.2011|
2701|Basel|BS|01.01.1908|Bâle,Basilea
6807|Basse-Allaine|JU|01.01.2009|
6812|Basse-Vendline|JU|01.01.2024|
52|Bassersdorf|ZH|01.10.1930|
5703|Bassins|VD|01.09.2006|
5745|Baulmes|VD|01.09.2006|
297|Bauma|ZH|01.01.2015|
5746|Bavois|VD|01.09.2006|
571|Beatenberg|BE|01.01.2010|
1501|Beckenried|NW|01.01.1850|
5148|Bedano|TI|12.09.1848|
5063|Bedretto|TI|12.09.1848|
2951|Beggingen|SH|12.09.1848|
5704|Begnins|VD|01.09.2006|
2612|Beinwil (SO)|SO|12.09.1848|
4224|Beinwil (Freiamt)|AG|01.01.1951|
4131|Beinwil am See|AG|12.09.1848|
2175|Belfaux|FR|01.01.2016|
2542|Bellach|SO|12.09.1848|
6606|Bellevue|GE|01.01.1855|
4022|Bellikon|AG|12.09.1848|
5002|Bellinzona|TI|02.04.2017|
732|Bellmund|BE|01.01.2010|
6052|Bellwald|VS|12.09.1848|
2053|Belmont-Broye|FR|01.01.2016|
5581|Belmont-sur-Lausanne|VD|01.09.2006|
5902|Belmont-sur-Yverdon|VD|01.09.2006|
861|Belp|BE|01.01.2012|
681|Belprahon|BE|01.01.2010|
3312|Benken (SG)|SG|01.01.2003|
22|Benken (ZH)|ZH|12.09.1848|
2882|Bennwil|BL|01.01.1994|
5512|Bercher|VD|01.09.2006|
3211|Berg (SG)|SG|01.01.2003|
4891|Berg (TG)|TG|01.01.2011|
23|Berg am Irchel|ZH|12.09.1848|
4023|Bergdietikon|AG|12.09.1848|
3544|Bergün Filisur|GR|01.01.2018|
4062|Berikon|AG|12.09.1848|
2932|Beringen|SH|01.01.2013|
972|Berken|BE|01.01.2010|
4801|Berlingen|TG|01.01.2011|
351|Bern|BE|01.01.2010|Berne,Berna
3233|Berneck|SG|01.01.2003|
6607|Bernex|GE|01.01.1850|
5424|Berolle|VD|01.09.2006|
1081|Beromünster|LU|01.01.2015|
4226|Besenbüren|AG|12.09.1848|
973|Bettenhausen|BE|01.01.2011|
5471|Bettens|VD|01.09.2006|
2702|Bettingen|BS|12.09.1848|
2543|Bettlach|SO|12.09.1848|
6205|Bettmeralp|VS|01.01.2014|
4716|Bettwiesen|TG|01.01.2011|
4227|Bettwil|AG|12.09.1848|
3781|Bever|GR|01.01.2017|
5402|Bex|VD|01.09.2006|
5281|Biasca|TI|12.09.1848|
2513|Biberist|SO|01.01.1991|
4002|Biberstein|AG|12.09.1848|
4721|Bichelsee-Balterswil|TG|01.01.2011|
2764|Biel-Benken|BL|01.01.1994|
371|Biel/Bienne|BE|01.01.2010|Biel,Bienne
2445|Biezwil|SO|12.09.1848|
603|Biglen|BE|01.01.2010|
2063|Billens-Hennens|FR|01.01.1998|
6054|Binn|VS|12.09.1848|
2765|Binningen|BL|01.01.1994|
5151|Bioggio|TI|20.04.2008|
5903|Bioley-Magnoux|VD|01.09.2006|
242|Birmensdorf (ZH)|ZH|01.01.1990|
4024|Birmenstorf (AG)|AG|12.09.1848|
4092|Birr|AG|12.09.1848|
4093|Birrhard|AG|12.09.1848|
4132|Birrwil|AG|12.09.1848|
2766|Birsfelden|BL|01.01.1994|
4901|Birwinken|TG|01.01.2011|
4471|Bischofszell|TG|01.01.2011|
5154|Bissone|TI|12.09.1848|
6172|Bister|VS|12.09.1848|
6173|Bitsch|VS|12.09.1848|
5425|Bière|VD|01.09.2006|
6192|Blatten|VS|12.09.1848|
2781|Blauen|BL|01.01.1994|
324|Bleienbach|BE|01.01.2010|
5049|Blenio|TI|22.10.2006|
5892|Blonay - Saint-Légier|VD|01.01.2022|
922|Blumenstein|BE|01.01.2010|
5747|Bofflens|VD|01.09.2006|
5705|Bogis-Bossey|VD|01.09.2006|
2238|Bois-d'Amont|FR|01.01.2021|
2514|Bolken|SO|01.01.1991|
352|Bolligen|BE|01.01.2010|
791|Boltigen|BE|01.01.2010|
3721|Bonaduz|GR|01.01.2017|
6774|Boncourt|JU|01.01.1979|
2571|Boningen|SO|12.09.1848|
4192|Boniswil|AG|01.01.1899|
3|Bonstetten|ZH|12.09.1848|
5551|Bonvillars|VD|01.09.2006|
82|Boppelsen|ZH|12.09.1848|
5706|Borex|VD|01.09.2006|
5304|Bosco/Gurin|TI|01.01.1934|Bosco,Gurin
2323|Bossonnens|FR|12.09.1848|
4228|Boswil|AG|12.09.1848|
5514|Bottens|VD|01.09.2006|
4273|Bottenwil|AG|12.09.1848|
2123|Botterens|FR|01.01.2006|
4643|Bottighofen|TG|01.01.2011|
2767|Bottmingen|BL|01.01.1994|
6404|Boudry|NE|01.01.2018|
5426|Bougy-Villars|VD|01.09.2006|
5661|Boulens|VD|01.09.2006|
5613|Bourg-en-Lavaux|VD|01.07.2011|
6032|Bourg-Saint-Pierre|VS|12.09.1848|
5472|Bournens|VD|01.09.2006|
6703|Bourrignon|JU|01.01.1979|
5473|Boussens|VD|01.09.2006|
6131|Bovernier|VS|12.09.1848|
605|Bowil|BE|01.01.2010|
6702|Boécourt|JU|01.01.1979|
4723|Braunau|TG|01.01.2011|
3792|Bregaglia|GR|01.01.2017|
5269|Breggia|TI|25.10.2009|
3981|Breil/Brigels|GR|01.01.2018|Breil,Brigels
2613|Breitenbach|SO|12.09.1848|
5622|Bremblens|VD|01.09.2006|
4063|Bremgarten (AG)|AG|01.01.2014|
353|Bremgarten bei Bern|BE|01.01.2010|
606|Brenzikofen|BE|01.01.2010|
5515|Bretigny-sur-Morrens|VD|01.09.2006|
5748|Bretonnières|VD|01.09.2006|
2883|Bretzwil|BL|01.01.1994|
573|Brienz (BE)|BE|01.01.2010|
574|Brienzwiler|BE|01.01.2010|
6002|Brig-Glis|VS|01.10.1972|
5096|Brione sopra Minusio|TI|12.09.1848|
2782|Brislach|BL|01.01.1994|
5097|Brissago|TI|12.09.1848|
4274|Brittnau|AG|12.09.1848|
