lib/app.dart:1600: GoogleFonts.interTextTheme
lib/app.dart:1617: GoogleFonts.montserrat
lib/app.dart:1624: GoogleFonts.montserrat
lib/app.dart:1631: GoogleFonts.montserrat
lib/app.dart:1660: fontFamily: '
lib/screens/anonymous/anonymous_chat_screen.dart:533: GoogleFonts.inter
lib/screens/anonymous/anonymous_chat_screen.dart:556: GoogleFonts.inter
lib/screens/anonymous/anonymous_chat_screen.dart:604: GoogleFonts.inter
lib/screens/anonymous/anonymous_chat_screen.dart:630: GoogleFonts.inter
lib/screens/anonymous/anonymous_chat_screen.dart:658: GoogleFonts.inter
lib/screens/anonymous/anonymous_chat_screen.dart:664: GoogleFonts.inter
lib/screens/anonymous/anonymous_chat_screen.dart:712: GoogleFonts.inter
lib/screens/aujourdhui/aujourdhui_screen.dart:217: GoogleFonts.montserrat
lib/screens/aujourdhui/aujourdhui_screen.dart:227: GoogleFonts.inter
lib/screens/aujourdhui/aujourdhui_screen.dart:264: GoogleFonts.montserrat
lib/screens/aujourdhui/aujourdhui_screen.dart:334: GoogleFonts.montserrat
lib/screens/aujourdhui/aujourdhui_screen.dart:386: GoogleFonts.inter
lib/screens/aujourdhui/aujourdhui_screen.dart:413: GoogleFonts.inter
lib/screens/byok_settings_screen.dart:234: fontFamily: '
lib/screens/byok_settings_screen.dart:245: fontFamily: '
lib/screens/onboarding/mvp_wedge/dossier_strip.dart:162: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/dossier_strip.dart:176: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/dossier_strip.dart:62: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/dossier_strip.dart:73: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:108: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:145: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:174: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:278: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:288: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:371: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:454: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:516: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:525: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:551: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:558: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:571: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:596: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:603: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:625: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:636: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:722: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:732: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:864: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/onboarding_shell_screen.dart:908: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_3a_levier.dart:106: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_3a_levier.dart:116: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_3a_levier.dart:126: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_3a_levier.dart:136: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_3a_levier.dart:153: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_3a_levier.dart:178: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_3a_levier.dart:191: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_capacite_achat.dart:101: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_capacite_achat.dart:118: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_capacite_achat.dart:143: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_capacite_achat.dart:156: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_capacite_achat.dart:71: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_capacite_achat.dart:81: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_capacite_achat.dart:91: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_rente_trouee.dart:104: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_rente_trouee.dart:114: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_rente_trouee.dart:131: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_rente_trouee.dart:156: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_rente_trouee.dart:169: GoogleFonts.inter
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_rente_trouee.dart:84: GoogleFonts.montserrat
lib/screens/onboarding/mvp_wedge/scenes/mint_scene_rente_trouee.dart:94: GoogleFonts.montserrat
lib/screens/profile/privacy_center_screen.dart:115: GoogleFonts.inter
lib/screens/profile/privacy_center_screen.dart:155: GoogleFonts.montserrat
lib/screens/profile/privacy_center_screen.dart:195: GoogleFonts.montserrat
lib/screens/profile/privacy_center_screen.dart:206: GoogleFonts.inter
lib/screens/profile/privacy_center_screen.dart:90: GoogleFonts.montserrat
lib/widgets/anonymous/eclairage_card.dart:189: GoogleFonts.inter
lib/widgets/anonymous/eclairage_card.dart:201: GoogleFonts.fraunces
lib/widgets/anonymous/eclairage_card.dart:217: GoogleFonts.montserrat
lib/widgets/anonymous/eclairage_card.dart:225: GoogleFonts.inter
lib/widgets/anonymous/eclairage_card.dart:231: GoogleFonts.inter
lib/widgets/anonymous/eclairage_card.dart:237: GoogleFonts.inter
lib/widgets/anonymous/eclairage_card.dart:327: GoogleFonts.inter
lib/widgets/anonymous/eclairage_card.dart:366: GoogleFonts.inter
lib/widgets/arbitrage/trajectory_comparison_chart.dart:366: fontFamily: '
lib/widgets/arbitrage/trajectory_comparison_chart.dart:389: fontFamily: '
lib/widgets/arbitrage/trajectory_comparison_chart.dart:460: fontFamily: '
lib/widgets/aujourdhui/cap_du_jour_banner.dart:193: GoogleFonts.montserrat
lib/widgets/aujourdhui/cap_du_jour_banner.dart:203: GoogleFonts.inter
lib/widgets/aujourdhui/cap_du_jour_banner.dart:216: GoogleFonts.inter
lib/widgets/aujourdhui/cap_du_jour_banner.dart:73: GoogleFonts.montserrat
lib/widgets/aujourdhui/cap_du_jour_banner.dart:83: GoogleFonts.inter
lib/widgets/aujourdhui/cap_du_jour_banner.dart:96: GoogleFonts.inter
lib/widgets/aujourdhui/commitments_and_checkins_card.dart:242: GoogleFonts.montserrat
lib/widgets/aujourdhui/commitments_and_checkins_card.dart:284: GoogleFonts.inter
lib/widgets/aujourdhui/commitments_and_checkins_card.dart:297: GoogleFonts.inter
lib/widgets/consent/consent_sheet.dart:109: GoogleFonts.montserrat
lib/widgets/consent/consent_sheet.dart:118: GoogleFonts.inter
lib/widgets/consent/consent_sheet.dart:82: GoogleFonts.montserrat
lib/widgets/consent/consent_sheet.dart:91: GoogleFonts.inter
lib/widgets/consent/policy_diff_view.dart:100: GoogleFonts.inter
lib/widgets/consent/policy_diff_view.dart:39: GoogleFonts.montserrat
lib/widgets/consent/policy_diff_view.dart:48: GoogleFonts.inter
lib/widgets/document/third_party_declaration_sheet.dart:115: GoogleFonts.inter
lib/widgets/document/third_party_declaration_sheet.dart:128: GoogleFonts.inter
lib/widgets/document/third_party_declaration_sheet.dart:151: GoogleFonts.inter
lib/widgets/document/third_party_declaration_sheet.dart:74: GoogleFonts.montserrat
lib/widgets/document/third_party_declaration_sheet.dart:85: GoogleFonts.inter
lib/widgets/document/third_party_declaration_sheet.dart:94: GoogleFonts.inter
lib/widgets/future_builder_safe.dart:118: GoogleFonts.montserrat
lib/widgets/future_builder_safe.dart:128: GoogleFonts.inter
